case,gene,kind,name,round,survivor_rank,is_carried_lead,front_size,scaffold_smiles,scaffold_affinity,smiles,heavy_atoms,mw,target_pdb,counter_pdb,affinity_target,affinity_counter,margin,delta_this_round,cumulative_delta,le_target,pchembl,in_site_target,n_contacts,n_hbonds,specificity,divergent_contacts,conserved_contacts,n_divergent_site,selectivity_method,goal_residue,goal_feature,goal_axis,gate_threshold_kcal,thr_verdict,sel_gate_verdict,sel_gate_worst_margin,sel_gate_limiting,sel_gate_reason,counter_margin,counter_limiting,counter_held_target,n_counter_pockets,counter_basis,strain_kcal,pose_valid,core_pin_dev_a,stop_now,stop_because,bar_vina_best,bar_pchembl_best,qed,sa_score,pains,brenk,exhaustiveness,note
AKT1_AKT2,AKT1,generated,lead_1,1,0,True,1,C(=Cc1cncc(OCCCc2c[nH]c3ccccc23)c1)c1ccncc1,-9.659,C(=Cc1cncc(OCCCc2c[nH]c3ccccc23)c1)c1ccncc1,27,355.4,7NH5,9C1W,-9.77,-9.61,0.16,-0.11,-0.11,0.362,,True,7,2,0.0,0,5,0,uniprot_pairwise_alignment,Thr82,hbond_donor,agent_conserved,1.37,REJECT,REJECT,0.11,AKT2,"REJECTED - margin over AKT2 is only +0.11 kcal/mol, below the required 1.37",,,,,,2.3,,,,,,,0.467,2.36,False,True,4,
AKT1_AKT2,AKT1,generated,lead_1,2,0,True,1,C(=Cc1cncc(OCCCc2c[nH]c3ccccc23)c1)c1ccncc1,-9.659,C(=Cc1cncc(OCCCc2c[nH]c3ccccc23)c1)c1ccncc1,27,355.4,7NH5,9C1W,-9.77,-9.61,0.16,0.0,-0.11,0.362,,True,7,2,0.0,0,5,0,uniprot_pairwise_alignment,Cys296,covalent,agent_conserved,1.37,REJECT,REJECT,0.11,AKT2,"REJECTED - margin over AKT2 is only +0.11 kcal/mol, below the required 1.37",,,,,,2.3,,,,,,,0.467,2.36,False,True,4,
AKT1_AKT2,AKT1,generated,lead_1,3,0,True,1,C(=Cc1cncc(OCCCc2c[nH]c3ccccc23)c1)c1ccncc1,-9.659,C(=Cc1cncc(OCCCc2c[nH]c3ccccc23)c1)c1ccncc1,27,355.4,7NH5,9C1W,-9.77,-9.61,0.16,0.0,-0.11,0.362,,True,7,2,0.0,0,5,0,uniprot_pairwise_alignment,Cys77,covalent,agent_conserved,1.37,REJECT,REJECT,0.11,AKT2,"REJECTED - margin over AKT2 is only +0.11 kcal/mol, below the required 1.37",,,,,,2.3,,,,,,,0.467,2.36,False,True,4,
