case,gene,kind,name,round,survivor_rank,is_carried_lead,front_size,scaffold_smiles,scaffold_affinity,smiles,heavy_atoms,mw,target_pdb,counter_pdb,affinity_target,affinity_counter,margin,delta_this_round,cumulative_delta,le_target,pchembl,in_site_target,n_contacts,n_hbonds,specificity,divergent_contacts,conserved_contacts,n_divergent_site,selectivity_method,goal_residue,goal_feature,goal_axis,gate_threshold_kcal,thr_verdict,sel_gate_verdict,sel_gate_worst_margin,sel_gate_limiting,sel_gate_reason,counter_margin,counter_limiting,counter_held_target,n_counter_pockets,counter_basis,strain_kcal,pose_valid,core_pin_dev_a,stop_now,stop_because,bar_vina_best,bar_pchembl_best,qed,sa_score,pains,brenk,exhaustiveness,note
ROCK1_ROCK2,ROCK1,generated,lead_1,1,0,True,1,c1cc2[nH]c(-c3cnon3)nc2cn1,-6.243,c1cc2[nH]c(-c3cnon3)nc2cn1,14,187.2,7S25,8X92,-6.91,-6.98,-0.07,-0.67,-0.67,0.494,,True,6,2,0.0,0,5,0,uniprot_pairwise_alignment,Lys105,acidic,agent_conserved,1.37,REJECT,REJECT,-0.19,ROCK2,REJECTED - binds anti-target ROCK2 MORE tightly than ROCK1 (-0.19 kcal/mol),,,,,,0.0,,,,,,,0.614,3.2,False,False,4,
ROCK1_ROCK2,ROCK1,generated,lead_1,2,0,True,1,c1cc2[nH]c(-c3cnon3)nc2cn1,-6.243,c1cc2[nH]c(-c3cnon3)nc2cn1,14,187.2,7S25,8X92,-6.91,-6.98,-0.07,0.0,-0.67,0.494,,True,6,2,0.0,0,5,0,uniprot_pairwise_alignment,Arg84,acidic,agent_conserved,1.37,REJECT,REJECT,-0.19,ROCK2,REJECTED - binds anti-target ROCK2 MORE tightly than ROCK1 (-0.19 kcal/mol),,,,,,0.0,,,,,,,0.614,3.2,False,False,4,
ROCK1_ROCK2,ROCK1,generated,lead_1,3,0,True,1,c1cc2[nH]c(-c3cnon3)nc2cn1,-6.243,c1cc2[nH]c(-c3cnon3)nc2cn1,14,187.2,7S25,8X92,-6.91,-6.98,-0.07,0.0,-0.67,0.494,,True,6,2,0.0,0,5,0,uniprot_pairwise_alignment,Lys200,acidic,agent_conserved,1.37,REJECT,REJECT,-0.19,ROCK2,REJECTED - binds anti-target ROCK2 MORE tightly than ROCK1 (-0.19 kcal/mol),,,,,,0.0,,,,,,,0.614,3.2,False,False,4,
